characteristic,model
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",HILTON HIC 150
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 42 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gefest 3200-08 K33
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Gorenje ICM 2000 SP
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Grunhelm GI-A2213
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5341 XF
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5351 WF
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6100-03 0004
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje EIT 5355 WPG
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 67 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gorenje GI 5322 WF-B
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-00-20 AA
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5342 WF
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 64 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gorenje GI 6322 WA
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 66 л, 3.3 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Bosch HXS 59AI50Q
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '27.5 см'}",Domotec MS 5832
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 1 шт, індукція 1 шт', 'Ширина плити:': '66 см'}",HILTON HIC 302
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 53 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Zanussi ZCG9210M1W
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gefest 5100-04 0002
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '56 см'}",Midea MC-ID356-Y
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л, 3.5 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMS56069
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '26.5 см'}",Xiaomi Mijia Home Induction Cooker
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': 'електрична', 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Beko FSM 52120 DW
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6100-04 0002
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 70 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gorenje G 5111 WH-B
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Gefest 6102-03
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 74 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '60 см'}",Gorenje G 6111 WJ
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '60 см'}",Gorenje ICE 3500 DP
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 59 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Indesit IS 5G1PMW
"{'Поверхня:': 'газова, загартоване скло', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Gefest 6502-03 0044
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje K 634 XA
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л, 2 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCMW56269
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 42 л"", 'Ширина плити:': '50 см'}",Gefest CG 50M02
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Gefest 5100-03 0004
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '59.7 см'}",Grunhelm GI-A2006
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 63 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 1200 C6 K33
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '35 см'}",Saturn ST-EC0194
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 57 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Electrolux EKG 951302 W
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 75 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gorenje G 5111 XF
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Gefest 6100-02 0002
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje EIT 6355 XPD
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 4 шт', 'Духовка:': ""електрична, об'єм 68 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Gorenje E 5121 WH
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 42 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gefest 3200-06 K33
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 59 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Electrolux EKG 96118 CW
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5241 XF
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5341 WH
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Ширина плити:': '50 см'}",Gefest 900
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л, 2.9 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCMW582109
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 66 л, 2.9 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Beko FSE 62120 DW
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Ширина плити:': '50 см'}",Greta 1470-00-07 WH
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 70 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gorenje G 5111 SJ
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '60 см'}",Ardesto ICS-B218
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '32 см'}",Esperanza EKH005
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 50 л"", 'Ширина плити:': '50 см'}",Greta 1470-E-SK-03
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 5241 WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Xiaomi Mijia Induction Cooker C1
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6100-03 0084
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 1 шт', 'Ширина плити:': '26 см'}",Termia EPC1-1.5/230M2
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Ширина плити:': '50 см'}",Greta 1470-00-17 WH
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 50 л"", 'Ширина плити:': '50 см'}",DAHATI 2000-19
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-00-20A WH
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 60 л"", 'Функції:': 'газ-контроль, конвекція', 'Ширина плити:': '50 см'}",Beko FSM 52335 DXDS
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': 'газова', 'Функції:': 'гриль'}",DAHATI 2000-09
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 2 шт', 'Ширина плити:': '58 см'}",Liberton LIC 3500
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 66 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Bosch HXN 390D20L
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje ECT 6353 XPI
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 53 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Electrolux EKG 951109 W
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 74 л, 3.4 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Electrolux EKC 6450 AOX
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje K 52 CLI
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-00-07AA
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '26.5 см'}",Xiaomi Mijia Home Induction Cooker Lite
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 68 л"", 'Ширина плити:': '50 см'}",Gorenje EC 5 WG
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 50 л"", 'Ширина плити:': '50 см'}",DAHATI 2000-03X
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 50 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Greta 1470-GE-07 H
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '27 см'}",Midea SKY 2113
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 43 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '51 см'}",Cezaris PG 2150-16
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 2 шт'}",Domotec MS 5822
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '31 см'}",Liberton LIC 3101
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 57 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Indesit IS 5G0PMW/E
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 66 л, 3.3 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Bosch HXN 390D61L
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '66 см'}",HILTON HIC 301
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Delfa IHP 1355
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 71 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Gorenje K 62 CLI
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-00-06AA
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 60 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Hansa FCGX53021
"{'Поверхня:': 'газова, загартоване скло', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6500-04 0069
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт'}",Grunhelm GI-A2018
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 68 л"", 'Ширина плити:': '50 см'}",Gorenje EC 5111 WG
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 50 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Greta 1470-GE-07 AA
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '30 см'}",Liberton LIC 1800
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 62 л, 2.9 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '50 см'}",Hansa FCMXS582958
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 56 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Hansa FCGW510977
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje EC 52 CLI
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Ширина плити:': '60 см'}",Artel Apetito 10-E
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 2 шт', 'Духовка:': ""газова, об'єм 41 л"", 'Ширина плити:': '50 см'}",Greta 1201-10 WH
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 1 шт', 'Ширина плити:': '31 см'}",Saturn ST-EC0185
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 70 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Gorenje MEKI 510 I
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 72 л, 2.4 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Beko FSM 62331 DXT
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 51 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '50 см'}",Electrolux EKG 951108 X
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 50 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-GE-41 A
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 54 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Greta 1470-00-17 AA
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт'}",Domotec MS 6604
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '56 см'}",Liberton LIC 3100
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 72 л"", 'Функції:': 'гриль', 'Ширина плити:': '60 см'}",Fresh C 63 E5/01
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '50 см'}",Amica 57IE3.323HTaD Xv
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 1 шт', 'Ширина плити:': '28 см'}",HILTON HIC 156
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л, 2.9 кВт"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMX68223
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Hansa FCMI69229
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Gefest 5100-02 0185
"{'Поверхня:': 'електрична, нержавіюча сталь', 'Конфорки:': 'електро 1 шт', 'Ширина плити:': '21 см'}",ViLgrand VHP 151F
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '27 см'}",Gorenje ICE 2000 SP
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 60 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Zanussi ZCM65338WA
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Ardesto ICS-B100
"{'Поверхня:': 'газова, нержавіюча сталь', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 67 л, 2 кВт"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Hansa FCMX68022
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт'}",Clatronic DKI 3609
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 2 шт', 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Gefest 702-02
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Xiaomi Mijia Induction Cooker A1
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 2 шт', 'Ширина плити:': '60 см'}",Laretti LR-CP5002
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'індукція 1 шт', 'Ширина плити:': '28 см'}",Liberton LIC 1804
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 2 шт', 'Ширина плити:': '63.5 см'}",First FA 5096-7
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'hi-light 2 шт'}",First FA-5096-2
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 58 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Electrolux EKC 964900 X
"{'Поверхня:': 'електрична, склокерамічна', 'Конфорки:': 'hi-light 4 шт', 'Духовка:': ""електрична, об'єм 72 л, 3 кВт"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",Electrolux EKC 6430 AOX
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 50 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Greta 600-GE-00 A CR
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 50 л, 1.8 кВт"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Greta 1470-GE-00 WH
"{'Поверхня:': 'електрична, емальована', 'Конфорки:': 'електро 4 шт', 'Духовка:': ""електрична, об'єм 50 л, 1.8 кВт"", 'Функції:': 'гриль', 'Ширина плити:': '50 см'}",Greta 1470-E-07 WH
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 46 л"", 'Функції:': 'газ-контроль', 'Ширина плити:': '50 см'}",Milano ML50 G1/01
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""газова, об'єм 52 л"", 'Функції:': 'газ-контроль, гриль', 'Ширина плити:': '60 см'}",Gefest 6100-03 0279
"{'Поверхня:': 'газова, емальована', 'Конфорки:': 'газ 4 шт', 'Духовка:': ""електрична, об'єм 59 л"", 'Функції:': 'газ-контроль, гриль, конвекція', 'Ширина плити:': '60 см'}",Indesit I 6GMH6AG W
"{'Поверхня:': 'комбінована, емальована', 'Конфорки:': 'газ 3 шт, електро 1 шт', 'Духовка:': ""електрична, об'єм 65 л"", 'Функції:': 'гриль, конвекція', 'Ширина плити:': '60 см'}",LIBERTY PWE 6115
